x ,y
0.00217,391.70728
0.00211,387.38799
0.0022,389.27226
0.00191,388.0888
0.00255,394.48546
0.00226,396.17461
0.00243,396.45465
0.00241,395.92273
0.00266,395.18838
0.00269,398.35151
0.0028,401.17272
0.00278,399.48673
0.00297,398.69465
0.00326,401.90504
0.00334,403.14086
0.00344,405.55186
0.00319,404.16378
0.00392,405.74169
0.00385,406.44154
0.00413,404.3684
0.00368,400.80343
0.00388,404.28444
0.00416,402.98878
0.00435,406.22222
0.00409,404.90552
0.00416,406.53386
0.00448,408.97523
0.00481,408.34156
0.0046,407.19375
0.00465,413.30499
0.00479,413.3292
0.00507,411.73131
0.0051,411.46904
0.00537,414.58077
0.00536,415.70966
0.00546,409.72849
0.00581,412.43001
0.00571,411.92642
0.00575,413.31556
0.00568,409.74838
0.0056,408.55762
0.00569,409.60158
0.00633,412.54231
0.0061,414.44022
0.0061,413.76563
0.00608,415.02143
0.0063,416.63085
0.0066,417.20158
0.00654,414.75072
0.00683,419.34495
0.00657,414.58394
0.0066,415.75894
0.00683,416.01496
0.00686,414.53254
0.0074,419.17712
0.00763,417.98741
0.0069,411.29487
0.00741,414.19468
0.00719,417.09351
0.00736,416.79138
0.0074,418.2591
0.00802,419.70059
0.00769,415.07705
0.00788,419.81501
0.00777,415.50196
0.00768,416.23322
0.00815,419.7835
0.00811,423.88673
0.00832,424.64739
0.00839,420.09619
0.0088,422.11371
0.0083,418.99978
0.00875,417.78904
0.00888,423.70209
0.00897,423.60977
0.009,423.73351
0.00924,424.10077
0.00937,421.38552
0.00938,423.43349
0.00919,419.61039
0.00965,422.85122
0.00955,426.41831
0.00934,423.11982
0.00994,424.40185
0.00963,421.12854
0.00993,424.56449
0.01041,425.29989
0.00979,423.7923
0.01003,422.63718
0.0099,422.44418
0.01023,427.4077
0.0107,431.51613
0.01071,424.65047
0.01062,426.5505
0.01052,428.11582
0.01103,428.13052
0.01076,427.2807
0.01145,429.64339
0.01091,427.79274
0.01175,431.33571
0.01113,431.49096
0.01175,431.16048
0.01147,426.98279
0.01177,425.37549
0.01212,427.25765
0.01195,428.37501
0.01257,429.41993
0.01219,426.77289
0.01208,424.50675
0.01202,427.06561
0.01248,430.48686
0.01259,434.98561
0.01239,435.52387
0.01303,436.76189
0.01281,432.01338
0.0129,433.41298
0.01356,433.32066
0.0133,432.62301
0.01288,431.74275
0.01356,434.32994
0.01353,434.78627
0.01405,434.5996
0.01411,434.35617
0.01424,435.6088
0.01445,433.21787
0.01391,429.57105
0.01418,432.68594
0.01443,427.4591
0.01441,433.32902
0.01448,437.09861
0.01433,431.88541
0.01485,430.88871
0.0148,432.09311
0.01478,431.8833
0.015,433.80013
0.01467,432.94504
0.01538,433.65641
0.01525,436.62337
0.01513,433.65844
0.01524,431.62103
0.01559,436.3244
0.01533,433.04783
0.01535,432.41417
0.01561,436.94856
0.01591,431.88436
0.01601,433.46015
0.01593,436.81435
0.01593,437.17729
0.01638,439.34169
0.01636,438.73426
0.0165,441.23855
0.017,439.99956
0.01641,435.10108
0.01705,436.43556
0.01716,437.0011
0.0169,440.05615
0.01733,435.20915
0.01698,432.15921
0.01711,429.28246
0.01724,432.42156
0.01765,436.41355
0.01795,436.51952
0.01748,434.74332
0.01739,434.12119
0.0177,432.86636
0.01766,432.74992
0.0176,439.45294
0.01778,437.39344
0.01791,438.8455
0.01818,437.19727
0.0184,438.5769
0.01823,443.2624
0.0182,439.88515
0.01838,440.56818
0.0186,440.07507
0.01858,440.39718
0.01882,437.7145
0.01883,439.92713
0.01897,442.85633
0.01933,444.88854
0.01918,442.36532
0.01941,443.06306
0.01999,444.05025
0.01993,441.05179
0.01983,440.76858
0.0198,440.76964
0.01987,440.46433
0.02004,442.42931
0.02016,438.29571
0.02035,444.42693
0.02047,445.35965
0.02031,442.76612
0.02078,443.61804
0.02098,443.60018
0.02061,445.19806
0.02087,440.54301
0.02136,445.31239
0.0214,447.09597
0.02105,450.39446
0.02129,444.14152
0.02154,442.48387
0.02147,443.11762
0.02188,443.39142
0.02191,446.67212
0.0221,443.91393
0.0218,445.88101
0.02231,442.68427
0.02246,445.33131
0.02271,446.42658
0.02252,446.66367
0.02264,449.34319
0.0225,443.66733
0.02321,445.99754
0.02282,445.9765
0.02254,439.21892
